"Country","ISO_TER1","Forest_ha","Protected_forest_ha","Deforested_ha","Protected_deforested_ha","perc_restorable","perc_restorable_TNC","perc_restorable_Gold","Unprotected_forest_ha","Unprotected_deforested_ha","Unprotected_restorable_ha","Protected_restorable_ha","Protected_forest_prop","Protected_deforested_prop","Growth_rate_GMW","total_rate_10_16","erosion_rate_10_16","ewe_rate_10_16","commodities_rate_10_16","npc_rate_10_16","settle_rate_10_16","zscore_growth","zscore_loss"
"American Samoa","ASM",18.8555870585322,0,0,0,0,0,0.59580303091862,18.8555870585322,0,0,0,0,0,0,-0.000138240369013093,-1.57239484794729e-05,-2.58218835732447e-05,0,-9.24130171868925e-05,-4.26901633418597e-06,-0.358398722689522,0.504346159132077
"Angola","AGO",37716.9111584521,169.837463577961,1881.56498037415,8.75608870125599,0.731182795698925,0.86438152,0.731182795698925,37547.0736948741,1872.80889167289,1369.36564122319,6.40230141597212,0.00450295261095106,0.00465362014737053,0.00471463520534359,-0.000452521036703471,0,-1.63347980332814e-05,0,-0.000365192417117523,-7.62427582676746e-05,-0.0351111786414358,0.0884088588270921
"Anguilla","AIA",0.87207130587846,0,1.27885340622216,0,0,0,0.67901188851566,0.87207130587846,1.27885340622216,0,0,0,0,0,-0.000602175815935231,-0.000254850886820344,-0.000103227511806694,-6.43301178976593e-05,-0.000160903542194265,-2.01932591997055e-05,-0.358398722689522,-0.109652973320729
"Antigua and Barbuda","ATG",891.194193959984,403.250934249605,22.1088201766714,5.07309522313029,0.663311443688554,0.7,0.663311443688554,487.943259710379,17.0357249535411,11.2999913132145,3.36504211642406,0.452483798685645,0.229460241776414,0.000207623000762982,-0.000657910465784466,-0.000296270413217542,-9.98245023699607e-05,-5.91335638547348e-05,-0.000182802770954282,-1.99836309943535e-05,-0.344161792984233,-0.183415447996941
"Aruba","ABW",33.995790000619,0.689821835750341,20.6749693443343,0,0.669006536411181,0.904761905,0.669006536411181,33.3059681648687,20.6749693443343,13.8316896314604,0,0.020291390073235,0,0,-0.000553544372269844,-0.000206387956809968,-6.60014914536001e-05,-7.71280923574107e-05,-0.000179866864626616,-2.46299612403808e-05,-0.358398722689522,-0.0452912945169826
"Australia","AUS",972546.577440115,485915.352434209,44498.7778625382,20579.2048143004,0.797283523,0.797283523,0.798600699650175,486631.225005906,23919.5730482378,19070.6814685549,16407.460914884,0.499631959749639,0.462466741847875,0.000997406768252001,-0.000139988502606276,-4.61146108621464e-05,-7.32639876688399e-05,0,-1.96993011355138e-05,-8.75475054637836e-07,-0.290005481117054,0.502032577540614
"Bahamas","BHS",97386.9224517473,63208.1930297128,12007.7312858887,5873.14135957639,0.36889848812095,0.600844595,0.36889848812095,34178.7294220345,6134.58992631231,2263.04094905862,2166.59296806835,0.649041898423588,0.489113323719895,0.00171895301250161,-0.00150984404584807,-0.000990168802231945,-0.000378238623597579,0,-0.000138039842243244,0,-0.240528288702211,-1.31091385868479
"Bahrain","BHR",81.1768249974601,35.6409936891772,4.40804987129718,0,0,0,0.772636863833274,45.5358313082829,4.40804987129718,0,0,0.439053802489717,0,0.000771941503466436,-0.000296157727435783,-4.35720469528114e-05,-2.99286733307558e-05,-2.31531325213272e-06,-0.000172531935436283,-4.96534963012129e-05,-0.305465873818925,0.295349149496287
"Bangladesh","BGD",410689.708344267,377019.22889024,19039.1012093569,10465.0957391696,0.197229105654427,0.783144154,0.197229105654427,33670.479454027,8574.0054701873,1691.04343076121,2064.02147322437,0.918014796158948,0.549663328331195,0.00173622931096228,-0.000345773429347995,-0.000300403640922281,-1.34728522101362e-05,0,-2.88182605192764e-05,-2.61963596794978e-06,-0.239343634565394,0.229684846127703
"Barbados","BRB",13.7699515495211,0,0,0,0,0,0.648983036814494,13.7699515495211,0,0,0,0,0,0,-0.000691863743274015,-0.000309713294578761,-7.63062926022447e-05,-5.88169096330293e-05,-0.000223471258521807,-2.23018842272112e-05,-0.358398722689522,-0.228351188649694
"Belize","BLZ",48152.2615911554,15282.3289825414,9155.82305420788,2952.73624492639,0.666666666666667,0.901825221,0.666666666666667,32869.932608614,6203.08680928149,4135.39120618766,1968.49082995093,0.317375103007591,0.322498177110288,0.0245442967225112,-0.000379374348149659,-2.273812504949e-05,-2.77914630322755e-05,-6.82236836670223e-05,-9.09711189290226e-05,-0.000171876042065226,1.32462977521308,0.185215437440116
"Benin","BEN",141.111508189435,0,46.0429499113856,0,0.666666666666667,0.928571429,0.666666666666667,141.111508189435,46.0429499113856,30.6952999409237,0,0,0,0.04512461498126,0,0,0,0,0,0,8.80162652963469,0.687301497438529
"Bonaire","BES",167.412622454835,167.406157498676,49.3630608511761,36.8117770354272,0.583333333,0.583333333,0.669006536411181,0.00646495615899312,12.5512838157489,7.32158222166977,21.4735365917286,0.999961383102037,0.745735300864151,0.0116025205658293,-0.000553544372269844,-0.000206387956809968,-6.60014914536001e-05,-7.71280923574107e-05,-0.000179866864626616,-2.46299612403808e-05,0.437198437031981,-0.0452912945169826
"Brazil","BRA",1096032.95648869,946768.380596962,64523.0884338903,53737.5644114362,0.420967814136712,0.801741318,0.420967814136712,149264.575891728,10785.5240224541,4540.3584720515,22621.7850273131,0.863813788620079,0.832842409062535,0.00300771276926397,-0.000679997292516796,-0.000411339592269109,-0.000216908519456492,-2.47557219339776e-05,-2.54396338499707e-05,-8.20572743367003e-07,-0.152156663224276,-0.212646438088892
"British Virgin Islands","VGB",88.7819030338615,0,0.463674905830622,0,0,0,0.967213114754099,88.7819030338615,0.463674905830622,0,0,0,0,0,-0.000180794480252564,0,0,-0.000116202506934469,-5.16355566570279e-05,-2.58157786555163e-05,-0.358398722689522,0.448027575250038
"Brunei","BRN",10904.2697918895,6649.52062876869,455.053955970268,171.667050644794,0.70805725091974,0.903100775,0.70805725091974,4254.74916312081,283.386905325474,200.654153131408,121.550099953053,0.609808887314449,0.377245485711172,0.00123372186917362,-0.000773326473404721,-0.000212031087286961,-1.59808114855629e-05,-0.000482563082016731,-3.25599590693474e-05,-2.91495606458413e-05,-0.273801103626334,-0.336163699979282
"Cambodia","KHM",59028.1821497689,38942.1486959164,6380.16360305651,3858.1388799335,0.524199045671438,0.912856196,0.524199045671438,20086.0334538525,2522.02472312301,1322.04295302085,2022.43271892901,0.659721293756102,0.604708455765179,0.00522029403610947,-0.000520202627974256,-0.00037009524510476,0,-0.000140600556069241,-9.16598685826902e-06,0,-0.000437615490834729,-0.00116489243287965
"Cameroon","CMR",189891.340771785,142232.870831531,3720.84134761146,2550.83852923094,0.825950197,0.825950197,0.833800186741363,47658.469940254,1170.00281838052,966.364058331946,2106.86558573349,0.749022415942964,0.685554231133347,0.00103304037067244,-9.32201044130131e-05,-2.01932651048127e-05,-4.81572103237678e-05,0,-1.78631481095798e-05,-6.989699513849e-06,-0.287562047148073,0.563928593694108
"Cayman Islands","CYM",4176.62027380265,930.476009709042,188.883704862364,29.4909708932881,0.669006536411181,0.778378378,0.669006536411181,3246.14426409361,159.392733969076,106.63478088176,19.7296522927216,0.222782045939235,0.156132954479994,0.000883146620057417,-0.000553544372269844,-0.000206387956809968,-6.60014914536001e-05,-7.71280923574107e-05,-0.000179866864626616,-2.46299612403808e-05,-0.297840420849089,-0.0452912945169826
"China","CHN",15744.7922537056,1154.090888398,1784.72233597675,83.1067401541783,0.513621795,0.513621795,0.633147631976913,14590.7013653076,1701.61559582257,873.986856726384,42.6854330545876,0.0732998485976454,0.0465656413207242,0.0164241495057789,-0.000808115365431446,-0.000235207832026199,-1.73253898048638e-05,-0.000502500910906174,-3.13342337375004e-05,-2.0810595361588e-05,0.767822655113746,-0.382205341472971
"Colombia","COL",230168.768054834,117495.836488288,26439.8592842932,21144.9553955765,0.511278195488722,0.856186098,0.511278195488722,112672.931566546,5294.9038887167,2707.16890550929,10810.9546383399,0.510476888247047,0.799737818882335,0.00284917978711744,-0.000290916336821452,-0.000168817564558201,-4.61921930760328e-05,-3.07908127613675e-06,-6.09763991184045e-05,-1.17008114868704e-05,-0.163027438208241,0.302285910443087
"Comoros","COM",104.703483236114,95.9494484627642,0.179333126163483,0.179333148549497,0,0,0.710041117674125,8.7540347733498,0,0,0,0.916392134217648,1,0,-0.000559700509044506,-0.000127717431001307,-0.000138028105139746,-0.000127143069746365,-0.000162264501595964,-3.6445337734541e-06,-0.358398722689522,-0.0534386836936016
"Costa Rica","CRI",36417.0816575567,17971.6178146048,1769.76461798711,836.818706228972,0.435483870967742,0.770501475,0.435483870967742,18445.4638429519,932.945911758138,406.282897055963,364.42104948681,0.493494179011887,0.47284181055713,0.00181281621830165,-0.000374953289002592,-0.000225636117879017,-1.52877148031169e-05,-2.29320980938377e-05,-0.00011086771596982,0,-0.234091988976374,0.191066524048889
"Cuba","CUB",335980.715662096,171932.30538141,22083.655665839,13011.8004387185,0.599376191301334,0.749532098,0.599376191301334,164048.410280686,9071.8552271205,5437.45403406858,7798.96338893212,0.511732660139716,0.589205004624589,0.00209346015211368,-0.00131336813557562,-0.000583600400891391,-0.000330756729927447,-3.49861701993651e-05,-0.000358870103942608,-1.73181584704516e-06,-0.214847936327029,-1.05088622066857
"Curaco","CUW",9.33457851439267,3.92129650689783,24.3542974349082,3.82084989153482,0.669006536411181,0.875,0.669006536411181,5.41328200749484,20.5334475433734,13.7370106215729,2.55617355208275,0.420082867250162,0.1568860650465,0.04512461498126,-0.000553544372269844,-0.000206387956809968,-6.60014914536001e-05,-7.71280923574107e-05,-0.000179866864626616,-2.46299612403808e-05,2.73584405920645,-0.0452912945169826
"Democratic Republic of the Congo","COD",25719.6277617642,25279.999473036,1268.06953976599,900.895056094465,0.668391316254463,0.799744898,0.668391316254463,439.6282887282,367.174483671525,245.416236436263,602.150432350118,0.982906895356325,0.710446097664893,0.00213899106275643,-0.000497508588031335,-0.000217309567764501,-5.02773234332489e-05,-3.09674704655398e-05,-0.000177054286404046,-2.02508244067574e-05,-0.211725833420046,0.0288697189106709
"Djibouti","DJI",495.240016259535,0,13.1049630887821,0,1,1,1,495.240016259535,13.1049630887821,13.1049630887821,0,0,0,0.00269012890548114,-0.000228467022296434,0,0,0,-0.000228467022296434,0,-0.173933726110347,0.384934962579577
"Dominica","DMA",1.7093731265828,1.70937418376356,0.0589437309473753,0.058943724372983,0,0,0.651407727343199,0,6.574392301395e-09,0,0,1,0.999999888463248,0,-0.000644067719957287,-0.00027776830200969,-7.38728189889869e-05,-6.59333621469275e-05,-0.000202744728829188,-2.2871556286353e-05,-0.358398722689522,-0.165095153686515
"Dominican Republic","DOM",18930.3834847648,15447.6517640081,1085.78902225066,907.400332796755,0.686367969,0.686367969,0.760956175298805,3482.7317207567,178.388689453905,122.440282473049,622.810523491633,0.816024238306656,0.835705937527223,0.0019772953426651,-0.000407677583697379,-6.51614382913423e-05,-0.000154800033941068,0,-0.000179255293088419,-8.14378669954793e-06,-0.222813480704436,0.147757290650086
"East Timor","TLS",988.712215567276,555.232860803363,43.8279187779009,8.52205747365365,0.627906977,0.627906977,0.703485273706795,433.479354763913,35.3058613042472,22.1687966419312,5.35105934610212,0.561571761793999,0.194443580970372,0.00129690753392159,-0.000549337126874965,-0.000136633135584395,-3.22307353725121e-05,-0.000326343205290011,-3.19116376137777e-05,-2.16290494944948e-05,-0.269468395476981,-0.0397231814538191
"Ecuador","ECU",138919.288309221,74534.140441544,12295.9048504717,2504.43119494993,0.775067750677507,0.872423625,0.775067750677507,64385.1478676774,9791.47365552177,7589.05546200332,1941.10385299642,0.536528378086979,0.203680105320094,0.00177429125100952,-7.75193812424586e-05,-3.01421418105109e-05,-1.07641120200261e-06,-3.98318452114072e-05,-6.45857149396351e-06,0,-0.236733686905895,0.584707843198662
"Egypt","EGY",98.7965588467568,48.0401897324674,11.180876917816,2.95539068231732,0.555555556,0.555555556,0.825745033112583,50.7563691142894,8.22548623549868,4.56971457893282,1.64188371371202,0.486253674148535,0.264325482163934,0.00677515039966806,-0.000133316991764026,-2.43143360390071e-05,-1.96004499507839e-05,-6.07769728684839e-06,-8.93619626974849e-05,0,0.106180536970393,0.510862042709674
"El Salvador","SLV",37496.3417065551,28677.9126291207,2402.07625641053,1471.94550850746,0.931034482758621,0.947959787,0.931034482758621,8818.4290774344,930.13074790307,865.983799771824,1370.43202516212,0.764818948300421,0.612780507937336,0.00402308079741381,-0.000228596052887224,-1.34381509177032e-05,0,-1.34381509177032e-05,-0.000201686120372681,0,-0.0825317989816587,0.384764195997005
"Equatorial Guinea","GNQ",25709.5234744792,20525.7253664015,673.786573138777,621.822013758308,0.949570815,0.949570815,1.04166666666667,5183.7981080777,51.964559380469,49.3440290020279,590.464036389418,0.798370509930943,0.922876825612009,0.000785506907806721,-5.08766042800274e-05,0,0,0,-5.08766042800274e-05,0,-0.304535679633758,0.619968442597983
"Eritrea","ERI",7029.21296124491,0,307.963463263126,0,0.439655172,0.439655172,0.833333333333333,7029.21296124491,307.963463263126,135.397729410665,0,0,0,0.00256137181313703,-1.98519048137435e-05,0,-1.98519048137435e-05,0,0,0,-0.182762736701775,0.661028332897989
"Fiji","FJI",51167.8285561504,16909.6561520714,803.715966536272,181.64059574819,0.74080452458256,0.913657771,0.74080452458256,34258.172404079,622.075370788082,460.836249311185,134.560175178131,0.330474374802033,0.226000979588593,0,-0.000180460417839392,-3.49676071189139e-05,-2.76331191154604e-05,-6.55281751970111e-05,-4.90952822874077e-05,-2.40052324290636e-06,-0.358398722689522,0.448469692861946
"French Guiana","GUF",50409.0098974217,35810.6298055389,6289.03094935893,3833.65026116695,0.538129052176598,0.775004588,0.538129052176598,14598.3800918828,2455.38068819198,1321.31168246947,2062.99858141834,0.710401372262829,0.609577261113293,0.0141481396856146,-0.000402806614519561,-0.000120138885747934,-9.20987321819818e-05,-4.804516278542e-05,-0.000138167190203481,0,0.611754244103648,0.154203814340453
"Gabon","GAB",175947.083763115,92239.9992826893,4315.54072115224,2014.35911207792,0.648148148148148,0.924899194,0.648148148148148,83707.0844804257,2301.18160907432,1491.5065984741,1305.60312819865,0.524248525806065,0.46676864899101,0.00097673555787214,-9.27161586500694e-05,-6.24890644210824e-06,-2.08294278158388e-06,0,-5.52067811474093e-05,-2.81219242312615e-05,-0.29142292797034,0.564595544804016
"Gambia","GMB",60252.0638906525,11525.9246180758,1758.28274966268,371.025744183951,0.228571428571429,0.906400966,0.228571428571429,48726.1392725767,1387.25700547873,317.087315537996,84.8058843849033,0.191295100512962,0.211015972405537,0.00086152777519897,-4.05875453078489e-06,-2.02936491026694e-06,0,0,0,-2.02936491026694e-06,-0.299322848005176,0.681929905814578
"Ghana","GHA",20558.4814118763,10172.7287948471,2648.27509869919,2276.67960288765,0.85316847,0.85316847,0.872384937238494,10385.7526170292,371.59549581154,317.033560620423,1942.39125347586,0.49481907690762,0.85968395202067,0.00269444757369285,-0.000180749169789182,-2.12544368925062e-05,0,0,-0.000116932959692377,-4.25115846372292e-05,-0.17363759044366,0.448087541750534
"Grenada","GRD",194.798730962771,63.4181478933528,2.57062517962456,0.956657888399065,0.651407727343199,0.666666667,0.651407727343199,131.380583069418,1.61396729122549,1.05135076518346,0.623174340926979,0.325557294854621,0.372149894112056,0.00123037102286635,-0.000644067719957287,-0.00027776830200969,-7.38728189889869e-05,-6.59333621469275e-05,-0.000202744728829188,-2.2871556286353e-05,-0.274030874716986,-0.165095153686515
"Guadeloupe","GLP",3726.86592501859,3609.78306245922,19.3794221508905,19.1456745948046,0.651407727343199,1,0.651407727343199,117.08286255937,0.233747556085898,0.152264964281942,12.4716403762541,0.968584095882444,0.987938362957063,0.000256745985345289,-0.000644067719957287,-0.00027776830200969,-7.38728189889869e-05,-6.59333621469275e-05,-0.000202744728829188,-2.2871556286353e-05,-0.340793377751613,-0.165095153686515
"Guatemala","GTM",24071.5537251665,11181.4782902665,2052.0729428917,986.817144393699,0.93147556,0.93147556,1.14285714285714,12890.0754349,1065.255798498,992.259741449173,919.196052191722,0.46451003611688,0.480887946898766,0.00894193385649426,-2.10365995037077e-05,0,0,-2.10365995037077e-05,0,0,0.254759180223093,0.659460439095769
"Guinea","GIN",221769.534804117,56153.0697058145,5735.92210892853,1366.84114743928,0.736702631080825,0.840437571,0.736702631080825,165616.465098302,4369.08096148925,3218.71343973427,1006.95546958805,0.253204615121788,0.23829492825777,0.00113546610890942,-0.000852134657320877,-5.24203357327992e-05,-1.07353527200533e-05,-0.000210412607207217,-0.000477443809526344,-9.98022933816386e-05,-0.280538605477673,-0.440463030577364
"Guinea-Bissau","GNB",260879.313341898,100036.392168621,5895.64450397684,1946.63640075847,0.772464814,0.772464814,0.836734693877551,160842.921173277,3949.00810321837,3050.46980993707,1503.70812523752,0.383458507641491,0.330182119943865,0.000590229751154224,-8.4915907354093e-05,-1.66384027271592e-05,-1.70642640185002e-06,-2.73049192129139e-05,-3.88255238188144e-05,-4.26604962526577e-07,-0.31792604169429,0.574918850687232
"Guyana","GUY",26911.4388782346,14697.1674995074,3270.31408331989,1569.54500988921,0.285104566794708,0.735790131,0.285104566794708,12214.2713787272,1700.76907343068,484.897029898291,447.484450109259,0.546130868959005,0.479937085521728,0.00588485343476011,-0.00699765903842078,-0.00107182401838582,-0.000656597543591599,-3.52547154496407e-05,-0.00102844075582918,-1.41009913081162e-05,0.0451319283882619,-8.57380714880807
"Haiti","HTI",14760.1321204037,6763.38891555231,1891.77574851214,647.722261989165,0.437837837837838,0.782983306,0.437837837837838,7996.74320485139,1244.05348652297,544.693688693843,283.59731470877,0.458220079629431,0.342388500591886,0.0043189430440996,-0.000963625907707171,-0.000531312791441099,-7.00763842901119e-05,0,-0.000340647348323238,-3.00291283356487e-05,-0.062244210453242,-0.588017030745737
"Honduras","HND",59500.3805240269,41759.7340746736,11028.5933287263,7775.97617456824,0.949784017,0.949784017,0.971428571428571,17740.6464493533,3252.61715415806,3089.28378643935,7385.49788717772,0.701839781643255,0.70507415975835,0.00787914976136814,-0.000584091656544831,-4.2405583969636e-06,-2.96861748028262e-05,-0.000520273002849206,-2.96861748028262e-05,0,0.181882945901237,-0.0857193458074439
"India","IND",350683.238787035,147494.591015759,23618.4442251039,6465.08702466398,0.277869822485207,0.723522431,0.277869822485207,203188.647771275,17153.35720044,4766.4003203116,1796.45258389479,0.420592074847726,0.273730435546312,0.00402167268847889,-0.000449768008458283,-0.000370676148023924,-4.42991803106586e-05,-2.76835383998229e-06,-2.6647314543878e-05,-5.19070117071144e-06,-0.082628354507059,0.0920523764013101
"Indonesia","IDN",2668276.2940794,652010.176612453,225290.502290709,25454.0921419836,0.830980469818278,0.846807642,0.830980469818278,2016266.11746695,199836.410148725,166060.153992186,21151.8534469433,0.244356320242843,0.112983423105597,0.0027950352533247,-0.000837788610893249,-0.000133230136705592,-2.07517156153542e-05,-0.000618442755943406,-5.09767321560922e-05,-1.35506909594587e-05,-0.166740186404251,-0.421476639002569
"Iran","IRN",7827.75061732719,7691.83790925035,305.37475091802,277.874759710621,0.575091575,0.575091575,0.818181818181818,135.91270807684,27.499991207399,15.8150132559493,159.803433214728,0.982637067183005,0.909946742077633,0.0020767636059058,-9.86280833891466e-06,0,-9.86280833891466e-06,0,0,0,-0.215992836236043,0.674248483697464
"Ivory Coast","CIV",5821.98162043589,438.829690986327,587.290621648919,32.9687156625432,0.909565217,0.909565217,1,5383.15192944956,554.321905986376,504.191924706352,29.9871970158124,0.0753746266470474,0.0561369694104392,0.0011393655844086,-5.62967972475523e-05,0,0,0,-5.62967972475523e-05,0,-0.280271214300562,0.612795044225718
